"Period","Reporter","TradeValue","label"
2016,"Japan",8.086745156,NA
2017,"Japan",10.315482595,NA
2018,"Japan",11.590900315,NA
2019,"Japan",11.597447649,NA
2020,"Japan",12.030640135,"Japan"
2016,"Netherlands",4.281736869,NA
2017,"Netherlands",6.180379015,NA
2018,"Netherlands",9.712927336,NA
2019,"Netherlands",10.574777572,NA
2020,"Netherlands",11.714655736,"Netherlands"
2016,"Rest of world",3.559862143,NA
2017,"Rest of world",4.282704237,NA
2018,"Rest of world",5.05764607,NA
2019,"Rest of world",6.582263647,NA
2020,"Rest of world",6.885233305,"Rest of world"
2016,"Singapore",2.520767217,NA
2017,"Singapore",4.088699873,NA
2018,"Singapore",3.711917843,NA
2019,"Singapore",4.119254738,NA
2020,"Singapore",5.622935926,"Singapore"
2016,"USA",8.833245022,NA
2017,"USA",12.489733848,NA
2018,"USA",12.280737538,NA
2019,"USA",9.951576731,NA
2020,"USA",13.006977112,"USA"
