"","pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"353","H5","2017",2017-01-01,"2017","6","1","2","Export","381","Italy","ITA","0","World","WLD",NA,"","","","","","","370790","Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use","8","Weight in kilograms",NA,"","4846511",NA,"4846511",NA,43245317,NA,NA,"0"
"354","H5","2017",2017-01-01,"2017","6","1","2","Export","381","Italy","ITA","0","World","WLD",NA,"","","","","","","391190","Polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39; in primary forms","8","Weight in kilograms",NA,"","21340105",NA,"21340105",NA,84730338,NA,NA,"0"
"355","H5","2017",2017-01-01,"2017","6","1","2","Export","381","Italy","ITA","0","World","WLD",NA,"","","","","","","392099","Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials","8","Weight in kilograms",NA,"","38435664",NA,"38435664",NA,155746516,NA,NA,"0"
"356","H5","2017",2017-01-01,"2017","6","1","2","Export","381","Italy","ITA","0","World","WLD",NA,"","","","","","","848071","Moulds; for rubber or plastics, injection or compression types","8","Weight in kilograms",NA,"","30508166",NA,"30508166",NA,876804090,NA,NA,"0"
"357","H5","2017",2017-01-01,"2017","4","0","2","Export","381","Italy","ITA","0","World","WLD",NA,"","","","","","","8486","Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in note 9-C to this Chapter","1","No Quantity",NA,"","0",NA,"1778974",NA,129035370,NA,NA,"2"
"358","H5","2017",2017-01-01,"2017","6","1","2","Export","381","Italy","ITA","0","World","WLD",NA,"","","","","","","854370","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543","1","No Quantity",NA,"","0",NA,"0",NA,300270435,NA,NA,"2"
"359","H5","2017",2017-01-01,"2017","6","1","2","Export","381","Italy","ITA","0","World","WLD",NA,"","","","","","","854390","Electrical machines and apparatus; parts of the electrical goods of heading no. 8543","8","Weight in kilograms",NA,"","3208584",NA,"3208584",NA,129548739,NA,NA,"6"
"360","H5","2017",2017-01-01,"2017","6","1","2","Export","381","Italy","ITA","0","World","WLD",NA,"","","","","","","903082","Instruments and apparatus; for measuring or checking semiconductor wafers or devices","1","No Quantity",NA,"","0",NA,"328747",NA,201568147,NA,NA,"2"
"361","H5","2017",2017-01-01,"2017","6","1","2","Export","381","Italy","ITA","0","World","WLD",NA,"","","","","","","903141","Optical instruments and appliances; for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.c. in chapter 90","1","No Quantity",NA,"","0",NA,"70544",NA,8496413,NA,NA,"2"
"362","H5","2017",2017-01-01,"2017","6","1","2","Export","398","Kazakhstan","KAZ","0","World","WLD",NA,"","","","","","","281111","Hydrogen fluoride (hydrofluoric acid)","8","Weight in kilograms",NA,"","5424925",NA,"5424925",NA,1766549,NA,NA,"0"
"363","H5","2017",2017-01-01,"2017","6","1","2","Export","392","Japan","JPN","0","World","WLD",NA,"","","","","","","370790","Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use","8","Weight in kilograms",NA,"","68035112",NA,"68035112",NA,2688238514,NA,NA,"6"
"364","H5","2017",2017-01-01,"2017","6","1","2","Export","398","Kazakhstan","KAZ","0","World","WLD",NA,"","","","","","","370790","Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use","8","Weight in kilograms",NA,"","7561",NA,"7561",NA,23353,NA,NA,"0"
"365","H5","2017",2017-01-01,"2017","6","1","2","Export","392","Japan","JPN","0","World","WLD",NA,"","","","","","","391190","Polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39; in primary forms","8","Weight in kilograms",NA,"","90630518",NA,"90630518",NA,586398874,NA,NA,"0"
"366","H5","2017",2017-01-01,"2017","6","1","2","Export","392","Japan","JPN","0","World","WLD",NA,"","","","","","","392099","Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials","8","Weight in kilograms",NA,"","44666818",NA,"44666818",NA,1861771695,NA,NA,"0"
