HS6,zero,positive,sigma
070110,0,0,-3.7388411
070190,0,0,-3.1784339
070200,0,0,-4.1394887
070310,0,0,-2.6302991
070320,0,0,-1.1555321
070390,0,0,-2.1084986
070410,0,0,-12.02132
070420,0,0,-8.7311831
070490,0,0,-10.396889
070511,0,0,-6.4607987
070519,0,0,-8.6391573
070521,0,0,-9.9880123
070529,1,0,-8.3626556
070610,0,0,-9.7431993
070690,0,0,-3.8862696
070700,0,0,-11.659786
070810,0,0,-7.8104944
070820,0,0,-2.6004953
070890,0,0,-8.2851315
070920,0,0,-11.024442
070930,0,0,-3.3416152
070940,0,0,-5.6805968
070951,1,0,-6.8985925
070959,1,0,-6.8985925
070960,0,0,-9.9923449
070970,0,0,-6.6044993
070990,0,0,-4.7480559
071010,0,0,-8.209691
071021,0,0,-9.9079084
071022,0,0,-4.2759213
071029,0,0,-9.2712679
071030,0,0,-6.3023067
071040,0,0,-14.260945
071080,0,0,-5.7762437
071090,0,0,-4.6786075
071120,1,0,
071140,1,0,
071151,1,0,
071159,1,0,
071190,1,0,
071220,0,0,-6.4982247
071231,0,0,-6.2049799
071232,0,0,-5.092876
071233,0,0,-5.079123
071239,0,0,-6.3586721
071290,0,0,-5.2377486
071310,1,0,-3.762089
071320,0,0,-1.8657365
071331,0,0,-3.9782591
071332,1,0,-3.762089
071333,0,0,-4.1301432
071339,1,0,-3.762089
071340,1,0,-3.762089
071350,0,0,-2.682081
071390,0,0,-6.1542258
071410,0,1,-8.5289669
071420,0,0,-7.2303514
071490,0,0,-9.8275824
080111,1,0,-7.8830328
080119,0,0,-10.303348
080121,0,0,-6.2392244
080122,1,0,-7.8830328
080131,1,0,-7.8830328
080132,0,0,-7.1065264
080211,0,0,-6.4679894
080212,0,0,-10.299853
080221,0,0,-7.8379345
080222,0,0,-18.724771
080231,1,0,-10.266421
080232,0,0,-9.147686
080240,1,0,-10.266421
080250,0,0,-9.1202936
080260,1,0,-10.266421
080290,1,0,-10.266421
080300,0,0,-12.083035
080410,0,0,-8.5291901
080420,0,0,-10.739347
080430,0,0,-13.180233
080440,1,0,-8.8590927
080450,0,0,-2.9876018
080510,0,0,-9.275074
080520,0,0,-8.1086035
080540,0,0,-20.213943
080550,1,0,-12.335477
080590,0,0,-11.744286
080610,0,0,-5.9487882
080620,0,0,-11.422679
080711,0,0,-13.409042
080719,0,0,-16.071426
080720,1,0,-14.740234
080810,0,0,-4.2491531
080820,0,0,-5.0237026
