Worldwide Total  System Sales Sales,,,,,,,,
"(Total sales in $M, calendar year)",,,,,,,,
,,,,,,,,
AOW,MSTRID,COMPANY,2016,2017,2018,2019,2020,
ROW,INNOG,INNOGRITY,28.5,36.6,46.1,42.4,37.6,
KS,SSP,SSP,32.7,51.3,51.8,38.4,37.5,
CH,KSEMI,KINGSEMI,12.3,14.2,22.5,22.3,36.1,
KS,JUN,JT,16.9,23.7,25.7,26.0,34.9,
KS,ASPTK,AP Sys,19.3,35.8,36.7,18.8,34.7,
EU,TRYMX,Trymax,9.9,13.5,16.4,21.6,33.3,
ROW,ASTI,ASTI,30.1,41.0,41.3,40.7,30.1,
JA,OKM,Okamoto Machine,28.2,28.0,28.6,27.0,29.4,
EU,OXF,Oxford Inst,29.2,30.3,28.5,24.1,27.3,
JA,NEL,Nissin Ion,23.9,25.6,29.3,22.7,25.2,
TW,GPIC,Gudeng Precision,21.8,23.3,24.0,18.2,24.4,
JA,TES,TESEC,23.9,35.9,56.3,34.0,24.2,
TW,YTEC,YTEC,19.7,31.3,32.0,24.3,23.2,
CH,HWATS,Hwatsing,7.2,13.8,17.7,19.9,22.9,
KS,PROTK,PROTEC,17.4,21.6,23.2,18.1,22.8,
EU,CSDE,CSD Epitaxy,16.5,15.8,20.1,20.1,22.5,
EU,RBR,Riber,7.3,7.2,11.3,25.8,21.7,
JA,CANMC,Canon Machinery,30.0,51.1,40.5,43.5,20.8,
KS,KYT,Koh Young Tech,22.6,27.1,25.3,20.5,20.4,
KS,EXICN,Exicon,31.1,41.7,36.3,29.2,20.4,
EU,KBTEM,KBTEM,20.9,23.4,21.6,18.3,19.2,
NA,KYI,Keithley Inst,10.6,24.2,20.9,16.8,19.0,
EU,SCONX,Siconnex,10.4,17.0,21.1,18.2,18.7,
TW,ART,All Ring Tech,20.4,19.9,16.9,11.3,18.6,
JA,TECL,Toray Eng,25.9,26.5,25.4,18.3,18.6,
JA,SKEP,Seiko Epson,25.1,25.8,22.4,17.8,18.5,
TW,HERE,Hermes-Epitek,14.5,16.8,19.7,16.3,18.4,
JA,MJP,Micronics Japan,16.2,16.7,18.2,16.2,18.0,
CH,TRINI,Trinity Tech,20.1,30.2,24.2,18.2,17.5,
NA,MCC,Micro Control,17.0,23.7,27.8,19.4,17.3,
KS,MIR,Mirae,6.6,6.9,5.9,18.8,17.1,
EU,MUHL,Muehlbauer,32.6,41.1,30.0,17.2,16.8,
ROW,EXIS,EXISTECH,10.1,11.9,15.8,10.5,16.4,
JA,SSU,ShibaSoku,11.7,13.1,16.7,16.7,16.4,
CH,GRAND,Grand Tec,21.6,32.4,25.8,16.4,15.9,
KS,KSEM,KOSES,20.8,23.4,41.9,18.2,15.3,
KS,TOPE,Top Eng,10.9,25.1,19.0,17.0,14.9,
NA,MCT,MCT Worldwide,18.3,17.4,17.0,14.0,14.6,
KS,PKSYS,Park Systems,0.0,0.0,NA,10.6,14.0,
